minute,actual_requests,predicted_requests,response_time,vms_count
1,7649,7649.0,85.29406594579726,1
2,9109,9109.0,178.015405199674,1
3,10539,10539.0,331.4364832004154,1
4,12769,12769.0,803.984912785879,1
5,14212,14212.0,1390.4500833863558,1
6,16836,16836.0,3681.5786611353096,1
7,19181,19181.0,8691.810715457636,1
8,18397,18397.0,6526.291943455357,1
9,18301,18301.0,6301.0396849433255,1
10,21735,21735.0,22049.213356784996,1
11,23779,23779.0,46375.93774274139,1
12,25306,25306.0,80787.4025930782,1
13,26674,26674.0,132808.43793907893,1
14,26918,26918.0,145119.677582358,1
15,30720,30720.0,577488.7961289893,1
16,35302,35302.0,3050124.8664540313,1
17,36910,36910.0,5469651.9548771875,1
18,38773,38773.0,10760272.035008868,1
19,39324,39324.0,13144255.688338982,1
20,41769,41769.0,31944849.101281073,1
21,46695,46695.0,191164704.38018322,1
22,46237,46237.0,161869383.98021275,1
23,46337,46337.0,167856550.5220035,1
24,46037,46037.0,150528090.75195846,1
25,49365,49365.0,504152870.5168049,1
26,52738,52738.0,1716346534.482956,1
27,53258,53258.0,2073134946.6112394,1
28,55280,55280.0,4320850856.797181,1
29,56468,56468.0,6652108980.332127,1
30,60367,60367.0,27413915506.41887,1
31,63770,63556.57511203915,178.09724723260007,7
32,67702,66444.01604965972,130.8822836052831,8
33,67010,66917.78973845861,125.37201585036115,8
34,67704,68139.3903267075,130.89846144513328,8
35,72057,71014.69758202136,169.83160027021736,8
36,73046,73835.15685543921,179.8021943436403,8
37,75084,75689.54199895856,123.27889401003864,9
38,73215,74694.12663707015,181.55120380081965,8
39,74615,75184.23905485847,120.08113086038591,9
40,78458,77719.10317271453,148.1573865337997,9
41,81740,81044.67590387093,175.83487615146709,9
42,82816,82833.44005504544,119.53764781111693,10
43,83387,82819.5532882793,123.0333483443994,10
44,85208,85004.49603209764,134.67848596141317,10
45,87917,88718.15581581136,153.49186671502008,10
46,92175,93272.98125416118,187.07090743308112,10
47,94352,94951.27350616729,206.35294652307763,10
48,96367,96023.77468418278,151.23942969328886,11
49,97325,96737.24039447858,157.6192396383441,11
50,98489,99229.72583698842,165.64743933210468,11
51,102782,102649.1379695871,198.07307534530614,11
52,103109,102739.89028145514,200.73648804104238,11
53,102741,102885.14492521806,197.74115490012213,11
54,104666,103892.95924887543,213.82025971703803,11
55,107626,106253.09069264776,166.83301781647276,12
56,110395,109602.78853604852,185.550861196545,12
57,110507,111234.86333583825,186.3414649167475,12
58,111733,111848.43872848827,195.17327613896208,12
59,114214,113889.92174335639,153.0542620563843,13
60,118380,117875.77899652568,177.7826328131448,13
61,120868,121217.2295870025,193.9834585440181,13
62,123072,122887.83514339673,209.30649312134096,13
63,123136,123592.44006728768,153.76393915283737,14
64,124594,125069.40930058324,161.51399827601963,14
65,129049,128493.46695276366,187.09522758913474,14
66,132108,130621.52678971174,206.45298155726604,14
67,131860,132171.2213288208,204.82574945352704,14
68,132586,131406.45746044398,209.61903044124062,14
69,132966,132288.50525205524,212.1641358054381,14
70,134785,135599.0081982332,168.14608410740834,15
71,138439,138902.1330532044,188.07458371413432,15
72,140909,139892.32593048975,202.57983378002353,15
73,140451,140657.93767645914,199.82427259804695,15
74,143700,142673.97082794528,167.80078949772675,16
75,144004,145999.23930654788,169.29014971070526,16
76,150409,149347.6290247796,203.18214864853226,16
77,151790,151658.42338667053,163.7441238595774,17
78,152282,152246.88677107237,165.9739858075756,17
79,154124,154584.68594195513,174.53364790139346,17
80,155309,156158.42316561542,180.22102520337245,17
81,159347,159535.05550047132,200.7191471453181,17
82,160703,160654.30810259434,208.00889115868523,17
83,161465,160794.40992448438,212.19897948594655,17
84,160762,162113.3039367125,163.92804899881858,18
85,163154,164291.05777836876,174.37205504382493,18
86,166248,166172.62920151482,188.65085789027592,18
87,168911,168696.36219634855,201.67499473860528,18
88,169243,170224.8198344348,162.11812038124694,19
89,170525,170961.9951408619,167.31311057965223,19
90,175011,174683.98814068252,186.52724377489318,19
91,178329,177373.78866973368,201.83711669905267,19
92,180995,180672.45642456762,173.21893941145112,20
93,180460,181174.86979094395,171.08703625070837,20
94,182288,182130.30614808772,178.45770552036797,20
95,185085,184790.0013152386,190.2198941566182,20
96,186852,187658.54340257414,197.964544595604,20
97,189154,189518.77355356765,169.8480289778795,21
98,188992,189107.60512792255,169.2405258444735,21
99,189681,189640.9806881707,171.83610552347952,21
100,192113,191949.89096669803,181.24913519998728,21
101,194017,195082.4225363461,188.89989819100265,21
102,196342,197468.49170274986,198.590547711126,21
103,197206,197991.06256532378,202.29219558979193,21
104,198807,199435.90961783275,172.17485259781006,22
105,202971,203077.483564353,187.79163161502441,22
106,207075,206918.22990529388,204.27043348911394,22
107,210229,208956.5465167775,180.5987657162541,23
108,209661,209764.03941325092,178.5639582091144,23
109,211257,210554.8633047902,184.3282103826228,23
110,213839,213350.72298099467,193.96675435377747,23
111,214988,216265.10546572064,198.38393173670738,23
112,217396,217244.9958657477,173.8940202733992,24
113,217331,217471.67467723676,173.67656605550053,24
114,220148,218021.6988504677,183.2997261590033,24
115,220647,220426.3997846689,185.04754520610587,24
116,223891,223099.34309476707,196.7376781341674,24
117,225151,224864.21034522337,201.43524520184667,24
118,225045,225978.19671754568,169.412104180933,25
119,228863,228248.45914813914,181.77113900837244,25
120,232202,231627.50517402455,193.1560661162086,25
121,235884,235432.03864696907,175.04531751122926,26
122,236493,237278.9141427685,176.94476240800424,26
123,239143,238392.44626570004,185.40075421013205,26
124,238429,239446.18316655644,183.09152779104463,26
125,242869,242480.33713812407,197.8323415426634,26
126,246775,245076.70626772882,180.55105729666505,27
127,245125,245359.78786363904,175.54993439449626,27
128,245330,246088.6688672248,176.165263949499,27
129,246757,246232.8727356504,180.49589856138255,27
130,248898,249702.51169208894,187.15130867784984,27
131,250909,252243.95404570972,166.22748815645937,28
132,253734,254124.86016724925,174.19642169454622,28
133,253630,254890.5029443566,173.89784555811244,28
134,256828,256608.34922063342,183.26583128326934,28
135,259364,260491.95455584105,190.97586837828783,28
136,264991,263935.07080131024,180.369569888152,29
137,265093,266150.6042138275,180.6605689877201,29
138,266264,266286.71006397385,184.02812058687186,29
139,268701,269040.4270025662,191.1967826793246,29
140,269914,270613.0579691264,194.8473232134225,29
141,273705,273579.01775224245,179.2050289514552,30
142,275463,274754.8036179406,184.0770838968135,30
143,272997,274112.4740189556,177.272007127377,30
144,275325,274879.03643933136,183.69087425486515,30
145,278009,278088.9298544723,191.31936892411832,30
146,281275,279966.7507492536,200.9426645965989,30
147,281189,281910.5837496505,174.89609321021842,31
148,281924,282693.7599496481,176.81758901076452,31
149,285366,285086.85895263293,186.03943495747538,31
150,288838,288547.23819591955,195.7261675186103,31
151,292452,292583.66219848185,180.49398356743032,32
152,294497,294677.5039514379,185.8426136304813,32
153,294477,294564.6544678516,185.78970087792177,32
154,296736,296324.14972651424,191.84278586284026,32
155,299633,300047.22933674906,199.83605232375817,32
156,301451,301756.75354418147,180.1429762526794,33
157,304410,302772.34518414154,187.671357176642,33
158,303162,302805.0228065221,184.46623486340695,33
159,302724,303046.9211568432,183.3517563299935,33
160,306826,306371.88444507914,194.00265957894584,33
161,308370,308959.48226927733,198.13789271797953,33
162,311308,310841.903876974,206.2033664650389,33
163,312407,311096.1504325202,184.6105392438924,34
164,312792,313459.75230894133,185.56619929884437,34
165,317871,317553.70459276414,198.54840269440263,34
166,321082,320268.1181297683,183.3783016776804,35
167,323378,322622.82190284505,188.93993244595453,35
168,325039,324162.3763073225,193.0468083719463,35
169,324854,324913.6276330303,192.58587904627726,35
170,327296,327994.20644414437,198.7419791941454,35
171,329811,330474.5345165188,182.34560053079264,36
172,330765,331022.5537196731,184.56636791184107,36
173,331221,332002.472042199,185.6354406041663,36
174,332450,332550.5759548171,188.54139055698369,36
175,335022,334272.34370938805,194.74070617352967,36
176,338311,337740.85358053155,202.90623893241897,36
177,339189,339125.5734699451,205.1322412917876,36
178,341143,340298.894882775,187.29070207220306,37
179,341737,342680.3077785425,188.6624378998222,37
180,347776,345678.899472872,203.0719974311452,37
181,349752,350007.41472156777,185.92465213775472,38
182,350534,351657.15987315564,187.67421527771717,38
183,351165,352561.41652950924,189.0955112116493,38
184,353936,353268.5242907484,195.4395300742833,38
185,356220,356551.2124026532,200.796404588947,38
186,359594,358879.46631387726,187.3143786513792,39
187,360296,359742.8124107395,188.85308494659787,39
188,359725,359123.0802018412,187.60075322858444,39
189,360000,360474.85793120763,188.20305894603797,39
190,362089,363072.86035378743,192.82910624335716,39
191,365792,367084.30086479767,180.96394567838817,40
192,368364,368334.1091194807,186.35702148730894,40
193,368651,369416.0486528657,186.96666336602436,40
194,369452,371420.74195926567,188.67656628116254,40
195,374239,374245.2972841067,199.1587902961433,40
196,378060,378309.87689425517,187.3669246820649,41
197,379013,380228.3144884765,189.35623999922362,41
198,380644,380621.62684871047,192.80003883376258,41
199,382097,381893.5097846448,195.91018680392045,41
200,383985,384863.3953477257,200.0117202884286,41
201,387809,386971.3065756593,188.44080700615376,42
202,388866,388239.57619151147,190.6052951012593,42
203,389149,388537.82344292663,191.1881782595464,42
204,390020,389313.06930722983,192.99111767642924,42
205,390699,391274.5648737253,194.40607372644308,42
206,393899,394589.9515547432,201.18748992418426,42
207,396591,396005.0555045514,187.5434808744506,43
208,397391,397363.94343016634,189.13560314765405,43
209,399361,399426.7847076091,193.1023766162676,43
210,405682,402260.14647676924,206.28525853408036,43
211,406708,406033.0875465529,208.49223200565748,43
212,409129,408293.66926297033,213.7763562261684,43
213,409784,408605.3928446467,215.22464218632217,43
