minute,actual_requests,predicted_requests,response_time,vms_count
1,6789,6789.0,49.72770323465691,1
2,5817,5817.0,20.87342613848866,1
3,5607,5607.0,15.868545377577654,1
4,8310,8310.0,121.26725342811304,1
5,10049,10049.0,269.6940880718687,1
6,10918,10918.0,387.32629297918373,1
7,11363,11363.0,463.5640891397621,1
8,10680,10680.0,351.33618684832066,1
9,7800,7800.0,92.7679052844831,1
10,6407,6407.0,37.16061417171837,1
11,10381,24070.268540030527,10.0,3
12,14750,27150.167178047297,10.0,3
13,11489,28722.815822760356,10.0,4
14,11994,24597.500326293222,10.0,3
15,13651,28325.071583668512,10.0,4
16,11942,27539.50685242699,10.0,3
17,9888,24596.826396697776,10.0,3
18,9989,26559.135759670942,10.0,3
19,17075,28225.933270113004,10.0,4
20,19176,30796.525825755936,10.0,4
21,15004,31306.65087278659,10.0,4
22,20407,28172.861445485883,10.0,4
23,15354,35950.88249620939,10.0,4
24,14564,26705.403299594414,10.0,3
25,21297,29535.694978011317,10.0,4
26,25125,39442.18783076116,10.0,5
27,25564,36518.5711238177,36.67133781064073,4
28,27047,35177.019801818795,48.77233738226071,4
29,29136,43645.58623056892,21.12637708135862,5
30,22247,37948.24236247121,14.83919880898182,4
31,20472,34147.94931150937,10.0,4
32,32722,38899.23790238051,113.5232938282912,4
33,42363,48663.402290572216,59.7810112653893,6
34,47217,49744.00495284965,96.34803766902255,6
35,50122,54058.96323836725,123.96167259528579,6
36,48945,59696.44702880347,57.155706567178974,7
37,35103,54229.26208195767,21.707723730175225,6
38,34909,44378.792861556576,56.764128336947884,5
39,80298,56368.85712826121,1016.6534261251751,6
40,119650,94180.30742585812,588.4097993356979,10
41,274217,107201.34314785045,33098.037429759206,12
42,310218,248892.50701494957,487.5930254338641,27
43,290332,220877.0647830738,619.6690235057637,24
44,162119,228116.012227252,39.57940870139168,25
45,131450,148499.64209254662,115.58786282443305,16
46,317542,191977.94764853333,1952.8887851718807,21
47,255797,326643.69313733216,69.8713884336808,35
48,228249,226537.8759211335,179.73704754513508,25
49,214978,244742.11935335887,101.26331769070893,27
50,200683,262251.4857841866,54.45862295570689,29
51,117487,144825.67775742873,71.34649625708721,16
52,105441,93922.47411342265,332.1386368111372,10
53,203415,224227.09089497948,131.71735549261336,24
54,278085,177796.70368058764,1629.8456775369325,19
55,289494,249769.23127846327,357.4634476025905,27
56,299658,223092.78486553696,720.7639960313074,24
57,393360,272872.18843649916,1089.0026447311832,29
58,167530,322316.9519436243,10.0,35
59,121040,86373.18985572431,621.3263570262449,10
60,332333,230484.48473658256,982.5575319198753,25
61,423227,394555.8634112883,272.91464792435676,42
62,205785,312656.116463042,26.959372300157703,34
63,115387,136680.05673584974,87.40362800118163,15
64,241679,281733.0705055184,92.5695072763533,31
65,129041,193925.45889846265,29.490565573005973,21
66,81302,50796.85544773422,1083.319776874956,6
67,98828,184315.75477792323,10.0,20
68,229872,197808.24496673112,391.814174828866,21
69,218168,161352.033901277,625.3316373478732,18
70,122831,128813.78082552948,152.17944421677117,14
71,74069,157743.38151485,10.0,17
72,56740,57230.182822036906,109.21432160054405,7
73,78575,95099.412159653,63.04480811444942,11
74,125558,75916.60886231705,1260.3678725031764,9
75,64648,180393.66256324266,10.0,20
76,40346,51880.27031958474,47.47584565724862,6
77,30654,61340.5446261015,10.0,7
78,25120,47305.76457297226,10.0,6
79,16708,20067.785243851526,15.010526571578751,3
80,12429,35204.950626827704,10.0,4
81,16352,59004.553376613185,10.0,7
82,16413,11779.815247863813,115.04898072193149,2
83,14735,33164.6577696822,10.0,4
84,13431,18436.77846197601,47.17233183186537,2
85,12052,25131.474814662884,10.0,3
86,9228,23382.95746634133,10.0,3
87,7831,22496.111354615816,10.0,3
