minute,requests,response_time,vms_count
1,220447,4.8787758283596826e+35,1
2,237236,4.228989270895821e+19,2
3,251991,146307631849023.0,3
4,268365,315228682381.3864,4
5,286930,9284548309.660952,5
6,305146,866980174.0155463,6
7,319610,131197577.5922619,7
8,330569,27149061.780515097,8
9,342411,8262209.463800068,9
10,356821,3501658.972686159,10
11,369565,1641888.6556409178,11
12,377876,763758.729857772,12
13,382876,364345.84925928613,13
14,387849,193046.91195514196,14
15,395041,117463.05950528174,15
16,400853,73698.96021874968,16
17,401457,43693.35996761614,17
18,398773,25681.749319863775,18
19,395996,15928.009120965164,19
20,395050,10707.764927218059,20
21,393205,7355.392244734702,21
22,385628,4748.012402902924,22
23,374931,3023.4537736616876,23
24,364488,2001.3790771935714,24
25,356457,1414.8209834412805,25
26,347122,1004.3007899436337,26
27,332951,678.9234201972098,27
28,316246,451.011501724823,28
29,300124,306.19667295265054,29
30,286719,217.85385005023562,30
31,272490,153.367940599798,31
32,254964,116.12231180854656,31
33,234115,80.70925499889051,31
34,215176,55.23972180111205,31
35,199965,38.50479506726028,31
36,183970,29.143479561665252,30
37,165533,13.854749714234785,30
38,144634,10.0,30
39,126758,10.0,29
40,112916,10.0,29
41,99580,10.0,29
42,83566,10.0,28
43,66528,10.0,28
44,52605,10.0,28
45,42938,10.0,27
46,34921,10.0,27
47,24867,10.0,27
48,14456,10.0,26
49,7115,10.0,26
50,4315,10.0,26
51,3929,10.0,25
52,1296,10.0,25
53,0,10.0,25
54,0,10.0,24
55,5020,10.0,24
56,12190,10.0,24
57,17272,10.0,23
58,22267,10.0,23
59,30732,10.0,23
60,43829,10.0,22
61,57765,10.0,22
62,69927,10.0,22
63,80876,10.0,21
64,94966,10.0,21
65,113586,11.483723565731232,21
66,132609,44.29929708544832,20
67,148516,74.97089479483793,20
68,163318,112.67285754146559,20
69,180090,169.6247050277757,20
70,200217,265.3323623167255,20
71,220743,327.68242137735746,21
72,237868,370.9399179899193,22
73,252122,394.2995435658828,23
74,268608,432.80216950768573,24
75,286653,483.05962042786723,25
76,305520,540.8230185008596,26
77,319435,558.1960630430266,27
78,330439,551.7361892990938,28
79,342565,554.1764000130272,29
80,356315,568.4506784526376,30
81,369572,578.4856590232963,31
82,377957,553.864108683992,32
83,383000,510.7116465178153,33
84,387965,472.4980440315112,34
85,395024,449.54772317633285,35
86,400630,421.87558317818775,36
87,401575,377.244616177794,37
88,398478,324.25157562764696,38
89,395748,281.2254029746646,39
90,395089,250.52276842410066,40
91,392566,219.54251466788202,41
92,385486,183.75280025855398,42
93,374386,162.6074144691898,42
94,364309,145.09168333616324,42
95,356088,131.89041671108902,42
96,346409,117.5042854467305,42
97,332849,99.27133732471083,42
98,315842,79.22806892652184,42
99,299880,62.917386776288005,42
100,286384,56.88419975609673,41
101,272004,44.42557488072409,41
102,254212,31.053292449844754,41
103,233782,21.558800185654142,40
104,214992,10.761323672284838,40
105,199568,10.0,40
106,184133,10.0,39
107,165744,10.0,39
108,144978,10.0,39
109,127033,10.0,38
110,112862,10.0,38
111,99090,10.0,38
112,83610,10.0,37
113,66687,10.0,37
114,53321,10.0,37
115,43396,10.0,36
116,35360,10.0,36
117,25220,10.0,36
118,14308,10.0,35
119,7598,10.0,35
120,5164,10.0,35
121,4388,10.0,34
122,1572,10.0,34
123,0,10.0,34
124,0,10.0,33
125,5331,10.0,33
126,12840,10.0,33
127,17633,10.0,32
128,22596,10.0,32
129,31051,10.0,32
130,43880,10.0,31
131,57874,10.0,31
132,70276,10.0,31
133,81152,10.0,30
134,95535,10.0,30
135,113439,10.0,30
136,132810,10.0,29
137,148497,10.0,29
138,163136,16.291492891046254,29
139,180222,38.07020531249234,28
140,200100,63.1749817681528,28
141,220675,96.96229304012613,28
142,237739,154.47490747704512,27
143,251684,196.10375241313275,27
144,268169,256.527091885696,27
145,287029,293.8280629430002,28
146,305277,329.76114474658664,29
147,318903,344.1768731371518,30
148,329938,346.0383001106849,31
149,342328,353.91428486633066,32
150,356425,369.20820096825065,33
151,369301,378.54420076714666,34
152,377575,367.2613377064856,35
153,382177,342.1812308058357,36
154,387717,323.25095172305504,37
155,394845,311.5720029035051,38
156,400190,295.09984999110605,39
157,401374,268.0119878373675,40
158,398127,233.01593641439626,41
159,395250,204.1073381743346,42
160,394771,183.9612313727731,43
161,392028,178.66524910836307,43
162,385152,165.91656546765103,43
163,374490,147.55596932297553,43
164,363975,130.99781805821405,43
165,356159,119.6083958347788,43
166,346621,106.69074834905257,43
167,332831,89.76173411286996,43
168,316086,71.68734416090606,43
169,299788,56.3874520482595,43
170,286280,50.69045343628333,42
171,272151,39.422625498292255,42
172,254216,26.96643453656474,42
173,233958,18.187427669833177,41
174,215383,10.0,41
175,199855,10.0,41
176,184452,10.0,40
177,165637,10.0,40
178,145531,10.0,40
179,127253,10.0,39
180,113767,10.0,39
181,99965,10.0,39
182,83824,10.0,38
183,66852,10.0,38
184,53323,10.0,38
185,43789,10.0,37
186,35841,10.0,37
187,25713,10.0,37
188,14907,10.0,36
189,7566,10.0,36
190,5057,10.0,36
191,4464,10.0,35
192,2222,10.0,35
193,0,10.0,35
194,0,10.0,34
195,5449,10.0,34
196,12642,10.0,34
197,17778,10.0,33
198,22823,10.0,33
199,31084,10.0,33
200,43752,10.0,32
201,58214,10.0,32
202,70291,10.0,32
203,81458,10.0,31
204,95488,10.0,31
205,113147,10.0,31
206,132078,10.0,30
207,148489,10.0,30
208,163005,12.012033463150246,30
209,179839,31.08323224532132,29
210,200771,54.57081299644501,29
211,220378,82.91966956660596,29
212,237324,131.73244813521657,28
213,251805,168.72343007312236,28
214,267865,218.75161180253934,28
215,286514,250.80066881643683,29
216,304874,283.0298260235442,30
217,318604,297.12859224923534,31
218,329774,300.6349442587342,32
219,341761,307.1338854921737,33
220,356036,322.28450283828766,34
221,369390,333.50535930441964,35
222,376835,321.7468948037783,36
223,382183,303.6595866474548,37
224,387113,286.0085008237927,38
225,394492,277.4052964061208,39
226,400388,265.2018177878847,40
227,400890,239.96113910112223,41
228,397734,209.56571848340423,42
229,395304,185.00462266634366,43
230,394776,183.97099747380693,43
231,392119,178.83898449031798,43
232,385121,165.8607490765647,43
233,374391,147.3931149544412,43
234,364172,131.29471210658394,43
235,356595,120.22412409072103,43
236,346901,107.05532291288421,43
237,332529,89.41260799811434,43
238,316042,71.64313870000589,43
239,300028,56.597815328963286,43
240,286947,51.25717421680152,42
241,272536,39.71176739857275,42
242,254737,27.301698326266653,42
243,234466,18.482702441289554,41
244,215886,10.0,41
245,199960,10.0,41
246,184618,10.0,40
247,165931,10.0,40
248,145490,10.0,40
249,128024,10.0,39
250,113650,10.0,39
