    minute,actual_requests,predicted_requests,response_time,vms_count
1,765,765.0,93.95271182166806,1
2,911,911.0,146.32115246029144,1
3,1054,1054.0,203.32856077286095,1
4,1277,1277.0,305.0227377271021,1
5,1421,1421.0,380.0717270665429,1
6,1684,1684.0,539.3032950476183,1
7,1918,1918.0,709.1521450207692,1
8,1840,1840.0,649.2779116585764,1
9,1830,1830.0,641.8457525138313,1
10,2174,2174.0,931.4791453934606,1
11,2378,2378.0,1140.9815474762688,1
12,2531,2531.0,1319.9423584255087,1
13,2667,2667.0,1496.7270897849314,1
14,2692,2692.0,1531.1808190149861,1
15,3072,3072.0,2140.402074481072,1
16,3530,3530.0,3139.3534244671405,1
17,3691,3691.0,3577.895798113612,1
18,3877,3877.0,4153.174804666588,1
19,3932,3932.0,4338.821998834273,1
20,4177,4177.0,5262.831669482329,1
21,4670,4670.0,7707.972683071347,1
22,4624,4624.0,7440.758097024625,1
23,4634,4634.0,7498.086100129944,1
24,4604,4604.0,7327.3520087384295,1
25,4937,4937.0,9449.699928293465,1
26,5274,5274.0,12193.86006986044,1
27,5326,5326.0,12680.800136709566,1
28,5528,5528.0,14758.207688861512,1
29,5647,5647.0,16133.602404785,1
30,6037,6037.0,21579.840034387777,1
31,6377,6355.300676783732,146.32115246029144,7
32,6770,6644.171278156808,167.99477137373236,7
33,6701,6691.6099523570265,164.12480158764805,7
34,6770,6813.458459530575,167.99477137373236,7
35,7206,7101.600563167222,193.10416755225498,7
36,7305,7383.758324526587,198.96669051698683,7
37,7508,7568.886240713637,156.82621351012875,8
38,7322,7469.655912146841,199.97949959402814,7
39,7461,7518.476360139137,154.56417314378353,8
40,7846,7772.293334850322,173.38304861345972,8
41,8174,8104.715837594149,189.9465341895406,8
42,8282,8283.395163409501,195.50993756832128,8
43,8339,8282.223950143598,198.46839398387743,8
44,8521,8500.430672144515,160.0299273893135,9
45,8792,8872.002674405026,171.84863975467903,9
46,9218,9327.660516412026,190.96124342699324,9
47,9435,9495.306962672352,200.95428623895674,9
48,9637,9601.990499795302,210.41623591344938,9
49,9733,9673.808452590216,170.4262916630242,10
50,9849,9922.554720470293,175.03709964895478,10
51,10278,10264.740834106535,192.43297342590876,10
