minute,actual_requests,predicted_requests,response_time,vms_count
1,22045,22045.0,2660033337.120549,1
2,23723,23723.0,9072903679.979244,1
3,25199,25199.0,26696796608.543713,1
4,26836,26836.0,88368713798.64304,1
5,28693,28693.0,343558153340.7165,1
6,30515,30515.0,1301929657234.6775,1
7,31961,31961.0,3747776443846.369,1
8,33057,33057.0,8352475114741.352,1
9,34241,34241.0,19851880057881.637,1
10,35682,35682.0,56937712996957.27,1
11,36956,36956.0,144532835337419.56,1
12,37788,37788.0,265566456388584.47,1
13,38288,38288.0,382781800715951.44,1
14,38785,38785.0,550524530687185.4,1
15,39505,39505.0,932002517544433.1,1
16,40085,40085.0,1424293978028848.2,1
17,40146,40146.0,1489260126042702.8,1
18,39877,39877.0,1223342219083313.2,1
19,39600,39600.0,999044693523812.8,1
20,39505,39505.0,932002517544433.1,1
21,39320,39320.0,814083968355113.0,1
22,38563,38563.0,468035953137119.6,1
23,37493,37493.0,214039615256048.12,1
24,36448,36448.0,99689177049680.67,1
25,35646,35646.0,55458484615910.375,1
26,34712,34712.0,28013706714009.816,1
27,33295,33295.0,9940163963684.822,1
28,31625,31625.0,2931398215284.1665,1
29,30012,30012.0,901273888742.5217,1
30,28672,28672.0,338323045107.5089,1
31,27249,27263.504910467796,184.83268474891423,27
32,25497,25463.37747995214,189.1802211073179,25
33,23411,23424.733266538235,188.3575267852928,23
34,21518,21546.347571720937,191.14385766501601,21
35,19996,19968.803795922628,202.66600922172194,19
36,18397,18431.176374013652,190.07184836911887,18
37,16553,16572.486511519564,195.22528699085484,16
38,14463,14511.285467230839,194.60841944405087,14
39,12676,12694.738897581514,204.30906623985123,12
40,11291,11274.387853844468,191.87906477498956,11
41,9958,9969.725299420115,179.40545439546594,10
42,8356,8378.91282661902,199.35372869305564,8
43,6653,6644.024275132219,161.44905257412728,7
44,5260,5274.460052655532,202.4894579586915,5
45,4293,4319.622135719383,211.46798146825148,4
46,3493,3517.657244274478,132.24029686002143,4
47,2487,2494.1012695197915,116.22220723283704,3
48,1445,1422.3872411430839,79.72983932639988,2
49,712,700.84858416102,76.28351583817727,1
50,431,462.78572441951655,10.0,1
51,393,381.73762336978325,10.0,1
52,130,128.35849925943694,10.0,1
53,0,0.0,10.0,1
54,0,0.0,10.0,1
55,502,501.723904902663,12.63313823567887,1
56,1219,1206.6299376509014,276.9574740373933,1
57,1727,1737.7034562921472,128.66623653033872,2
58,2227,2264.952926526583,86.31219671910628,3
59,3074,3075.171386522881,191.14385766501601,3
60,4383,4374.170516802127,133.47420051846046,5
61,5776,5776.450319887653,166.23393616514812,6
62,6993,7008.922307982199,180.6945321090173,7
63,8087,8111.1836500329655,185.50467064503727,8
64,9497,9527.323706430314,203.84195023684316,9
65,11358,11344.418703611826,194.39098041959681,11
66,13261,13252.092243028896,189.26086947186496,13
67,14851,14871.092424321489,177.1033865672419,15
68,16332,16308.94731326429,189.5366107558046,16
69,18009,18025.092616458063,181.2998263758431,18
70,20022,20016.78421628978,203.24017636366608,19
71,22075,22061.706853457224,202.15016981354717,21
72,23787,23781.08647305106,195.0824530857828,23
73,25212,25221.692253627654,184.53117639370333,25
74,26860,26836.565924900475,194.6106913282328,26
75,28666,28689.806901018805,190.78194791365087,28
76,30552,30501.103603590855,188.57446970326515,30
77,31944,31945.99404337103,193.52620946146777,31
78,33044,33062.15370087715,194.42385934955797,32
79,34257,34259.942536147864,196.687698138626,33
80,35632,35624.47762780759,200.8149291598607,34
81,36957,36941.92400097468,191.93206172915478,36
82,37796,37777.28209081155,201.6050685688577,36
83,38300,38277.19183000752,195.46236928373384,37
84,38796,38819.39006484271,189.61749295721512,38
85,39503,39524.96901727048,197.29464086156185,38
86,40063,40058.93374431101,192.20911797419268,39
87,40158,40146.80504128467,193.21293817558268,39
88,39848,39856.810358779556,201.0790029461901,38
89,39575,39589.403223514484,198.08234771895565,38
90,39509,39492.53979788787,197.36024142556874,38
91,39257,39250.242100057745,194.61152834049523,38
92,38549,38554.93151945605,198.25606203304704,37
93,37439,37458.35445388704,197.4689849666235,36
94,36430,36422.55838441122,197.8368537435959,35
95,35609,35612.41370454505,200.53222065267977,34
96,34641,34661.760145296954,188.75978506608232,34
97,33285,33299.418431435995,197.5454672234186,32
