                                                minute,actual_requests,predicted_requests,response_time,vms_count
1,678,678.0,65.30382398875372,1
2,581,581.0,35.43879878348832,1
3,560,560.0,29.24741287752579,1
4,831,831.0,116.93506052839695,1
5,1004,1004.0,182.71476412331214,1
6,1091,1091.0,219.07536603182524,1
7,1136,1136.0,238.81001446870022,1
8,1068,1068.0,209.236765342635,1
9,780,780.0,99.07901262184515,1
10,640,640.0,53.351135611911786,1
11,1038,2406.7275018878736,10.0,3
12,1475,2714.7127644189172,10.0,3
13,1148,2872.1612809601575,10.0,3
14,1199,2458.738258190707,10.0,3
15,1365,2832.682718317142,10.0,3
16,1194,2753.8339473390038,10.0,3
17,988,2458.871306123107,10.0,3
18,998,2655.4920399906655,10.0,3
19,1707,2821.9895898735185,31.88922707142109,3
20,1917,3078.88001669219,53.04105422691424,3
21,1500,3130.167047621722,12.072704594864433,3
22,2040,2816.8876273857877,65.94215976672888,3
23,1535,3594.433590300172,10.0,4
24,1456,2670.0385971434907,10.0,3
25,2129,2952.9716308153,75.52125280196265,3
26,2512,3943.5856573514484,49.64508141549811,4
27,2556,3651.375394008908,53.04105422691424,4
28,2704,3517.4340858903497,64.66642103077601,4
29,2913,4363.581525333584,81.62835410566242,4
30,2224,3794.580234061912,28.07884213839884,4
31,2047,3414.064029821784,66.68806564323313,3
32,3272,3889.613827084712,112.3200939945495,4
33,4236,4866.002876756416,122.7477542725266,5
34,4721,4974.010377775621,159.03018093822772,5
35,5012,5405.1296439372445,118.48315692942015,6
36,4894,5969.715857831871,111.49640017058192,6
37,3510,5422.067374921145,36.62892743473344,6
38,3490,4437.90072824472,71.72938457943667,5
39,8029,5635.9080159153655,335.93854922323845,6
40,11965,9417.551178510963,331.44505124369465,9
41,27421,10719.93405359511,1273.3900339996053,11
42,31021,24888.414177167208,312.74750346826187,24
43,29033,22087.235086094166,359.2391493263288,21
44,16211,22811.78375210704,84.48735110412952,22
45,13145,14848.819830134087,133.37586857224733,15
46,31754,19197.712973621492,530.8659839670286,19
47,25579,32664.17858129661,105.77335584409843,32
48,22824,22652.345991923772,196.42366709744744,22
49,21497,24473.42189861335,140.57044497834346,24
50,20068,26225.125470347433,96.28543447063493,26
51,11748,14481.425344291754,119.84817833396693,14
52,10544,9392.331611196052,254.86860571068775,9
53,20341,22422.16416952609,151.4865102146536,22
54,27808,17778.955554142703,507.761108752089,17
55,28949,24976.227796298008,270.92636554717825,24
56,29965,22309.090924283213,348.3880170391313,22
57,39336,27286.810166353636,400.03890277795944,27
58,16753,32231.791604217164,23.55951614036195,31
59,12104,8637.64580296355,339.4212984845164,9
60,33233,23047.595939603852,430.9125374782321,22
61,42322,39455.60891103887,228.96539435117512,38
62,20578,31264.39620522163,67.84139115828606,30
63,11538,13667.75374098769,137.52426961127844,13
64,24167,28172.86964469043,140.33330633852222,27
65,12904,19391.890337507277,65.67327302454117,19
66,8130,5079.744155117587,501.51002506341075,5
67,9882,18430.735127607266,26.0420494997216,18
68,22987,19779.916193707963,272.6339104959483,19
69,21816,16134.966231839013,349.1534068706763,16
70,12283,12880.786442882545,159.28060356672262,13
71,7406,15774.166291335478,10.0,16
72,5674,5722.698923086804,159.59877111704958,6
73,7857,9509.90726861323,132.1483356357154,9
74,12555,7590.655063268083,466.1271408547107,8
75,6464,18038.881884247763,10.0,18
76,4034,5186.9589176080935,108.37914897680508,5
77,3065,6134.003299551934,15.118213988824266,6
78,2512,4729.735778877581,12.745323346784119,5
79,1670,2007.1965023475675,118.3638983641361,2
80,1242,3519.2201802404065,10.0,4
81,1635,5899.797283170746,10.0,6
82,1641,1177.884491180051,511.13101831051523,1
83,1473,3315.8216438068193,10.0,3
84,1343,1843.2679961253734,63.23566794092858,2
85,1205,2513.4920762516945,10.0,3
86,922,2337.5213289621397,10.0,3
87,783,2248.7976550702506,10.0,3
