minute,requests,response_time,vms_count
1,765,93.95271182166806,1
2,911,146.32115246029144,1
3,1054,203.32856077286095,1
4,1277,52.8860985380108,2
5,1421,75.7933403180881,2
6,1684,120.87444254470813,2
7,1918,164.79583772825737,2
8,1840,149.73594614172686,2
9,1830,147.83606455134412,2
10,2174,217.35239764165163,2
11,2378,103.45189105514078,3
12,2531,121.47408753183464,3
13,2667,138.06787549390447,3
14,2692,141.17850663204382,3
15,3072,190.86995856015966,3
16,3530,257.2115409980251,3
17,3691,150.78384552625943,4
18,3877,168.82567235713594,4
19,3932,174.27920030925833,4
20,4177,199.2495002546679,4
21,4670,253.0157578218837,4
22,4624,151.56637887504854,5
23,4634,152.3309572994138,5
24,4604,150.04057230052086,5
25,4937,176.03594116563653,5
26,5274,203.66454563840995,5
27,5326,137.57193109652388,6
28,5528,150.2437554256391,6
29,5647,157.8561659628561,6
30,6037,183.59249436019826,6
31,6377,207.04931182352647,6
32,6770,167.99477137373236,7
33,6701,164.12480158764805,7
34,6770,167.99477137373236,7
35,7206,193.10416755225498,7
36,7305,198.96669051698683,7
37,7508,211.17911077305297,7
38,7322,147.9308937546212,8
39,7461,154.56417314378353,8
40,7846,173.38304861345972,8
41,8174,189.9465341895406,8
42,8282,195.50993756832128,8
43,8339,198.46839398387743,8
44,8521,208.01853355575355,8
45,8792,171.84863975467903,9
46,9218,190.96124342699324,9
47,9435,200.95428623895674,9
48,9637,166.63991534329756,10
49,9733,170.4262916630242,10
50,9849,175.03709964895478,10
51,10278,192.43297342590876,10
52,10311,193.7938562779987,10
53,10274,192.26824095580884,10
54,10467,200.27176098019942,10
55,10763,172.47031090393608,11
56,11039,182.53080131003725,11
57,11051,182.97241480300562,11
58,11173,187.48220463365323,11
59,11421,196.76315814710875,11
60,11838,212.717717467829,11
61,12087,184.03188121363377,12
62,12307,191.520687008337,12
63,12314,191.76061903952387,12
64,12459,196.75372509741072,12
65,12905,212.39130057186213,12
66,13211,187.68780570153405,13
67,13186,186.9029312392566,13
68,13259,189.19786194479076,13
69,13297,190.39621782484465,13
70,13478,196.139463337799,13
71,13844,207.93306833747562,13
72,14091,183.7276532462534,14
73,14045,182.39680975621462,14
74,14370,191.8683769183953,14
75,14400,192.75080785535016,14
76,15041,211.93960462314368,14
77,15179,185.9353941947341,15
78,15228,187.26697575046222,15
79,15412,192.2956930217013,15
80,15531,195.57206216725575,15
81,15935,206.83806100702196,15
