minute,requests,response_time,vms_count
1,678,65.30382398875372,1
2,581,35.43879878348832,1
3,560,29.24741287752579,1
4,831,116.93506052839695,1
5,1004,182.71476412331214,1
6,1091,219.07536603182524,1
7,1136,31.59483289800488,2
8,1068,21.71244106351662,2
9,780,10.0,2
10,640,53.351135611911786,1
11,1038,196.64997189624245,1
12,1475,410.315904975332,1
13,1148,33.364431186584284,2
14,1199,40.9724411276635,2
15,1365,66.74139334723628,2
16,1194,265.2226639925587,1
17,988,10.396312762007483,2
18,998,11.792794966487975,2
19,1707,125.02690647226285,2
20,1917,164.6000319583556,2
21,1500,88.88232907350664,2
22,2040,189.2293648223452,2
23,1535,94.80319551966784,2
24,1456,81.54564389892312,2
25,2129,207.7540392685865,2
26,2512,119.1993190566443,3
27,2556,124.48329850903451,3
28,2704,142.67835549485113,3
29,2913,169.5167164480659,3
30,2224,85.97802301545232,3
31,2047,66.68806564323313,3
32,3272,218.93159277975377,3
33,4236,205.4316942474797,4
34,4721,159.03018093822772,5
35,5012,182.06748610931135,5
36,4894,172.60757550138948,5
37,3510,73.02581131055302,5
38,3490,71.72938457943667,5
39,8029,488.7193695231213,5
40,11965,771.008719101804,6
41,27421,4288.4215735322505,7
42,31021,4155.242768304901,8
43,29033,2439.4918024850067,9
44,16211,498.3899639351918,10
45,13145,265.6879493062583,11
46,31754,1468.4928684612235,12
47,25579,749.0536434141034,13
48,22824,504.24812107599763,14
49,21497,386.76369509982413,15
50,20068,293.87229984310926,16
51,11748,69.48868225678791,17
52,10544,47.26431647602999,17
53,20341,266.40022053065144,17
54,27808,451.2745934656643,18
55,28949,438.59442700186975,19
56,29965,423.7100070750267,20
57,39336,674.3023733834416,21
58,16753,92.76464349251819,22
59,12104,26.38519253115254,22
60,33233,430.9125374782321,22
61,42322,649.3427777575337,23
62,20578,126.44914139131595,24
63,11538,10.0,24
64,24167,183.91355051206864,24
65,12904,22.76640866496507,24
66,8130,10.0,24
67,9882,10.0,24
68,22987,180.86991140091192,23
69,21816,160.7073620519564,23
70,12283,21.724922155437355,23
71,7406,10.0,23
72,5674,10.0,23
73,7857,10.0,22
74,12555,32.38483025232409,22
75,6464,10.0,22
76,4034,10.0,21
77,3065,10.0,21
78,2512,10.0,21
79,1670,10.0,20
80,1242,10.0,20
81,1635,10.0,20
82,1641,10.0,19
83,1473,10.0,19
84,1343,10.0,19
85,1205,10.0,18
86,922,10.0,18
87,783,10.0,18
